===== INV-09 ①: option names matching themeA_* / theme_mods_themeA (names only, no values) =====
option_name	autoload	size_bytes
themeA_create_defaultpage_flag	auto	1
themeA_breadcrumb_change_text	auto	4
themeA_separation_title	auto	3
themeA_top_next_noindex	auto	0
themeA_category_noindex	auto	0
themeA_category_next_noindex	auto	0
themeA_tag_noindex	auto	0
themeA_tag_next_noindex	auto	0
themeA_date_archive_noindex	auto	0
themeA_image_page_noindex	auto	0
themeA_author_noindex	auto	0
themeA_h2_sp_display	auto	1
themeA_finish_sp_display_01	auto	1
themeA_finish_sp_display_02	auto	1
themeA_related_sp_display_01	auto	1
themeA_related_sp_display_02	auto	1
themeA_unit_sp_display	auto	1
themeA_h2_sp_display_1	auto	1
themeA_finish_sp_display_01_1	auto	1
themeA_finish_sp_display_02_1	auto	1
themeA_related_sp_display_01_1	auto	1
themeA_related_sp_display_02_1	auto	1
themeA_unit_sp_display_1	auto	1
themeA_h2_sp_display_2	auto	1
themeA_finish_sp_display_01_2	auto	1
themeA_finish_sp_display_02_2	auto	1
themeA_related_sp_display_01_2	auto	1
themeA_related_sp_display_02_2	auto	1
themeA_unit_sp_display_2	auto	1
themeA_h2_sp_display_3	auto	1
themeA_finish_sp_display_01_3	auto	1
themeA_finish_sp_display_02_3	auto	1
themeA_related_sp_display_01_3	auto	1
themeA_related_sp_display_02_3	auto	1
themeA_unit_sp_display_3	auto	1
themeA_h2_sp_display_4	auto	1
themeA_finish_sp_display_01_4	auto	1
themeA_finish_sp_display_02_4	auto	1
themeA_related_sp_display_01_4	auto	1
themeA_related_sp_display_02_4	auto	1
themeA_unit_sp_display_4	auto	1
themeA_commentrss_display	auto	1
themeA_choise_category_1	auto	1
themeA_choise_category_2	auto	1
themeA_choise_category_3	auto	1
themeA_choise_category_4	auto	1
themeA_added_views_meta_all_posts	auto	1
themeA_search_page_noindex	auto	0
themeA_paidpost_subscription_check	auto	0
themeA_category_id_noindex	auto	0
themeA_tag_id_noindex	auto	0
themeA_breadcrumb_display	auto	0
themeA_top_meta_keyword	auto	78
themeA_apparently_title	auto	0
themeA_apparently_subtitle	auto	0
themeA_title_customize	auto	0
themeA_display_category	auto	0
themeA_h2_sponsor_text	auto	0
themeA_h2_ads_code	auto	0
themeA_finish_sponsor_text	auto	0
themeA_finish_ads_code_01	auto	0
themeA_finish_ads_code_02	auto	0
themeA_related_sponsor_text	auto	0
themeA_related_ads_code_01	auto	0
themeA_related_ads_code_02	auto	0
themeA_unit_sponsor_text	auto	0
themeA_unit_ads_code	auto	0
themeA_display_category_1	auto	0
themeA_h2_sponsor_text_1	auto	0
themeA_h2_ads_code_1	auto	0
themeA_finish_sponsor_text_1	auto	0
themeA_finish_ads_code_01_1	auto	0
themeA_finish_ads_code_02_1	auto	0
themeA_related_sponsor_text_1	auto	0
themeA_related_ads_code_01_1	auto	0
themeA_related_ads_code_02_1	auto	0
themeA_unit_sponsor_text_1	auto	0
themeA_unit_ads_code_1	auto	0
themeA_display_category_2	auto	0
themeA_h2_sponsor_text_2	auto	0
themeA_h2_ads_code_2	auto	0
themeA_finish_sponsor_text_2	auto	0
themeA_finish_ads_code_01_2	auto	0
themeA_finish_ads_code_02_2	auto	0
themeA_related_sponsor_text_2	auto	0
themeA_related_ads_code_01_2	auto	0
themeA_related_ads_code_02_2	auto	0
themeA_unit_sponsor_text_2	auto	0
themeA_unit_ads_code_2	auto	0
themeA_display_category_3	auto	0
themeA_h2_sponsor_text_3	auto	0
