# INV-09 サイト設定の 4 分類（キー名からの一次分類・2026-08-27）
# axis: A=サイト固有の意味(移管必須) / B=見た目の選択(任意) / C=テーマ内部状態(移管しない) / X=credential(値に触れない) / D=保留
option_name	axis	reason
themeA_aff10_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff10_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff11_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff11_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff12_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff12_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff13_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff13_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff14_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff14_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff15_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff15_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff16_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff16_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff17_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff17_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff18_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff18_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff19_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff19_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff1_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff1_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff20_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff20_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff21_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff21_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff22_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff22_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff23_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff23_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff24_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff24_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff25_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff25_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff26_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff26_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff27_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff27_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff28_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff28_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff29_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff29_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff2_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff2_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff30_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff30_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff3_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff3_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff4_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff4_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff5_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff5_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff6_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff6_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff7_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff7_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff8_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff8_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_aff9_code	A	サイト固有: 外部連携・計測・広告コード
themeA_aff9_register_name	A	サイト固有: 外部連携・計測・広告コード
themeA_apparently_subtitle	A	サイト固有: 表示文言・URL
themeA_apparently_title	A	サイト固有: 表示文言・URL
themeA_author_noindex	A	サイト固有: SEO ポリシー
themeA_body_finish_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_body_start_tag	A	サイト固有: 外部連携・計測・広告コード
themeA_breadcrumb_change_text	A	サイト固有: 表示文言・URL
themeA_category_id_noindex	A	サイト固有: SEO ポリシー
themeA_category_next_noindex	A	サイト固有: SEO ポリシー
themeA_category_noindex	A	サイト固有: SEO ポリシー
themeA_choise_category_1	A	サイト固有: どの分類/記事を出すかの選択
themeA_choise_category_2	A	サイト固有: どの分類/記事を出すかの選択
themeA_choise_category_3	A	サイト固有: どの分類/記事を出すかの選択
themeA_choise_category_4	A	サイト固有: どの分類/記事を出すかの選択
themeA_date_archive_noindex	A	サイト固有: SEO ポリシー
themeA_display_category_1	A	サイト固有: どの分類/記事を出すかの選択
themeA_display_category_2	A	サイト固有: どの分類/記事を出すかの選択
themeA_display_category_3	A	サイト固有: どの分類/記事を出すかの選択
themeA_display_category_4	A	サイト固有: どの分類/記事を出すかの選択
themeA_finish_ads_code_01	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_01_1	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_01_2	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_01_3	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_01_4	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_02	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_02_1	A	サイト固有: 外部連携・計測・広告コード
themeA_finish_ads_code_02_2	A	サイト固有: 外部連携・計測・広告コード
