# INV-09 theme_mods_themeA 235 キーの 5 軸分類（キー名 + 値の型からの一次分類・2026-08-31）
# 値は記録しない。axis: A=サイト固有の意味(移管必須) / B=見た目の選択(任意) / C=テーマ内部状態(移管しない) / X=credential(値に触れない) / D=保留（④副作用既定値候補を含む）
theme_mod_key	value_type	axis	reason
0	bool	B	見た目: 表示 ON/OFF（任意移管）
custom_css_post_id	int	A	サイト固有: WP コア（メニュー割当 / 追加CSS）
nav_menu_locations	dict	A	サイト固有: WP コア（メニュー割当 / 追加CSS）
themeA__add_class	bool	B	見た目: 表示 ON/OFF（任意移管）
themeA__animation_column_select	str	B	見た目: 選択（任意移管）
themeA__animation_designtitle_select	str	B	見た目: 選択（任意移管）
themeA__animation_general_toggle	str	B	見た目: 選択（任意移管）
themeA__animation_style	str	B	見た目: 選択（任意移管）
themeA__article_image_setting	str	B	見た目: 選択（任意移管）
themeA__article_style	str	B	見た目: 選択（任意移管）
themeA__article_width	str	B	見た目: 選択（任意移管）
themeA__bg_color	str	D	④ 副作用既定値の候補（INV-16 の 5 キー・値は既定値と相違＝人が設定）
themeA__bg_image	str	B	見た目: 選択（任意移管）
themeA__bg_image_repeat	str	B	見た目: 選択（任意移管）
themeA__blogcard_design	str	B	見た目: 選択（任意移管）
themeA__box_tab	str	B	見た目: 選択（任意移管）
themeA__button01_arrow_select	str	B	見た目: 選択（任意移管）
themeA__button01_color	str	B	見た目: 選択（任意移管）
themeA__button01_color_type	str	B	見た目: 選択（任意移管）
themeA__button01_design	str	B	見た目: 選択（任意移管）
themeA__button01_gradation_select	str	B	見た目: 選択（任意移管）
themeA__button01_height	str	B	見た目: 選択（任意移管）
themeA__button01_name	str	A	サイト固有: 表示文言・URL・SNS
themeA__button01_round	str	B	見た目: 選択（任意移管）
themeA__button01_shadow_size	str	B	見た目: 選択（任意移管）
themeA__button01_solid_animation	str	B	見た目: 選択（任意移管）
themeA__button01_solid_hover	str	B	見た目: 選択（任意移管）
themeA__button01_text_color	str	B	見た目: 選択（任意移管）
themeA__button01_text_size	str	B	見た目: 選択（任意移管）
themeA__button01_width	str	B	見た目: 選択（任意移管）
